EstadoMovimientoId,TipoEstadoId,MovimientoId,FechaAlta,HoraAlta,EmpleadoId,ETD,ZonaFondeoId,LatGrados,LatMinutos,LatSegundos,LongGrados,LongMinutos,LongSegundos
3663,4,869,2017-03-16 00:00:00.000,2017-03-22 07:07:00.000,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3664,4,870,2017-03-16 00:00:00.000,2017-03-16 07:37:00.000,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3670,4,843,2017-03-15 00:00:00.000,2017-03-16 23:41:00.000,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3671,3,871,2017-03-16 00:00:00.000,2017-03-22 11:00:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3672,20,871,2017-03-16 00:00:00.000,2017-03-22 11:35:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3673,2,871,2017-03-16 00:00:00.000,2017-03-22 10:55:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3674,3,872,2017-03-16 00:00:00.000,2017-03-16 11:20:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3675,20,872,2017-03-16 00:00:00.000,2017-03-16 11:00:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3676,2,872,2017-03-16 11:00:00.000,2017-03-16 11:00:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3677,4,871,2017-03-16 00:00:00.000,2017-03-22 12:10:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3678,4,872,2017-03-16 00:00:00.000,2017-03-16 12:19:06.930,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3679,3,873,2017-03-16 00:00:00.000,2017-03-16 07:12:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3680,20,873,2017-03-16 00:00:00.000,2017-03-16 06:55:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3681,2,873,2017-03-16 00:00:00.000,2017-03-16 06:55:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3682,4,873,2017-03-16 00:00:00.000,2017-03-16 07:50:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3683,3,874,2017-03-16 00:00:00.000,2017-03-16 13:23:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3684,20,874,2017-03-16 00:00:00.000,2017-03-16 13:05:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3685,2,874,2017-03-16 00:00:00.000,2017-03-16 13:13:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3686,3,875,2017-03-16 00:00:00.000,2017-03-16 12:15:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3687,2,875,2017-03-16 00:00:00.000,2017-03-16 12:18:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3688,4,875,2017-03-16 00:00:00.000,2017-03-16 12:55:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3689,3,876,2017-03-16 00:00:00.000,2017-03-16 13:00:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3690,2,876,2017-03-16 00:00:00.000,2017-03-16 12:40:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3693,4,874,2017-03-16 00:00:00.000,2017-03-16 14:56:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3694,4,876,2017-03-16 00:00:00.000,2017-03-16 13:25:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3695,3,878,2017-03-16 00:00:00.000,2017-03-16 14:25:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3696,2,878,2017-03-16 14:15:00.000,2017-03-16 14:15:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3697,4,878,2017-03-16 00:00:00.000,2017-03-16 15:09:13.730,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3698,3,879,2017-03-16 00:00:00.000,2017-03-22 15:40:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3699,2,879,2017-03-16 00:00:00.000,2017-03-22 15:40:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3700,4,879,2017-03-16 00:00:00.000,2017-03-22 15:50:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3701,3,880,2017-03-16 00:00:00.000,2017-03-16 15:47:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3702,20,880,2017-03-16 00:00:00.000,2017-03-16 15:11:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3703,2,880,2017-03-16 15:13:00.000,2017-03-16 15:13:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3704,3,881,2017-03-16 00:00:00.000,2017-03-21 15:40:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3705,2,881,2017-03-16 00:00:00.000,2017-03-21 15:40:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3706,4,881,2017-03-16 00:00:00.000,2017-03-21 15:49:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3707,3,882,2017-03-16 00:00:00.000,2017-03-21 16:07:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3708,2,882,2017-03-16 00:00:00.000,2017-03-21 16:06:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3709,4,882,2017-03-16 00:00:00.000,2017-03-21 16:07:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3710,4,880,2017-03-16 00:00:00.000,2017-03-16 16:08:19.917,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
